Ano,Mes,Precipitacao_min,Precipitacao_media,Precipitacao_max,Temperatura_min,Temperatura_media,Temperatura_max,Vento_min,Vento_media,Vento_max
2016,5,37.0,100.07,197.0,13.0,15.5,17.0,0.0,1.86,5.0
2016,6,0.0,51.4,173.0,6.0,10.09,15.0,0.0,1.38,3.0
2016,7,60.0,89.12,170.0,12.0,14.5,19.0,0.0,2.2,4.0
2016,8,79.0,143.25,276.0,11.0,14.75,17.0,0.0,3.11,8.0
2016,9,0.0,55.5,109.0,14.0,17.86,25.0,1.0,2.33,5.0
2016,10,81.0,205.09,400.0,17.0,19.33,22.0,2.0,2.78,4.0
2016,11,19.0,112.69,273.0,18.0,19.75,21.0,2.0,2.33,3.0
2016,12,40.0,171.33,301.0,20.0,22.36,25.0,2.0,2.5,3.0
2017,1,52.0,171.69,247.0,18.0,22.75,26.0,1.0,2.6,6.0
2017,2,48.0,152.6,267.0,22.0,23.56,26.0,1.0,1.75,2.0
2017,3,83.0,173.13,277.0,13.0,19.17,23.0,1.0,2.3,6.0
2017,4,43.0,174.08,324.0,16.0,19.18,22.0,1.0,2.62,4.0
2017,5,44.0,247.73,454.0,14.0,17.27,21.0,2.0,2.75,4.0
2017,6,65.0,130.38,222.0,14.0,14.0,14.0,2.0,3.0,4.0
2017,7,0.0,10.06,33.0,11.0,14.8,19.0,1.0,3.0,4.0
2017,8,76.0,127.31,262.0,15.0,16.33,18.0,2.0,3.5,5.0
2017,9,31.0,117.4,225.0,18.0,20.64,26.0,3.0,4.0,7.0
2017,10,104.0,233.5,372.0,17.0,19.5,24.0,1.0,2.57,4.0
2017,11,53.0,132.71,306.0,18.0,20.1,22.0,1.0,2.71,4.0
2017,12,105.0,174.56,293.0,17.0,22.5,26.0,1.0,3.12,6.0
2018,1,55.0,228.15,429.0,20.0,22.4,25.0,1.0,2.44,3.0
2018,2,47.0,91.18,149.0,16.0,21.42,25.0,2.0,2.5,5.0
2018,3,76.0,191.88,335.0,20.0,22.17,24.0,0.0,1.89,3.0
